Wallet,Points
0xc4883ba4496a0e9347f158abec2254a771df9570,396.37
0xc7a4d962888ea92702a38ad1e3aebf05d56d561b,287.12
0xcaddf039b5cd8320bc4638b9b7a4b6796756eb63,279.49
0xd3dabbcd96e25f57fab78881267927897a29113d,76.23
0xd58c995e07c28966a4504592170b279aff68bbb1,177.86
0xd857cc69c6b8728b24f7d776babf3f6a8a39057d,76.23
0xe38877b7de6321fe72468409e1707b2f0f0c906c,345.56
0xe401d18f6f835c12ca54e54a2f16a802b651eaa7,287.12
0xed24f197e67e76d659ac90db163f99795600c78f,1120.52
0xeb02a7178b1eb0a8d6bd418510ad333fc8f5ca7a,1280.59
0xeceb013c350ce14f531436be2e8283674694413a,1585.49
0xf270ea870cd3c08eb41d75e29b5f8a12f6e4c977,388.75
0xf359e26d51e751524879384d3940a6093a86d696,355.72
0xfb85c9b9314c45661e0d553e271efefac154c839,330.31
0xa1baf6072301db78e48bbaeb82a85b9753acbe5f,76.23
0xa5a547103968d21f923aa177f7782fb944eeb6a1,454.81
0xa7d77852e9e85989f2588352a959b95422c7c8f7,203.27
0xb8099bc952262219f770e5f8e9165538ac3a02b0,462.44
0xb969d6e52043e2e39a70ce49116bb9d78f6bc0ec,83.85
0xb9d68068d32d2cebeb5ebed953d462f5211b5e91,541.2
0xc090aa2c7ee653046432ed8ccba6a0ac61bd96e9,58.44
0xc1ab1478de616d8865d568a140a09a224a8bee4f,462.44
0xc7b4fac3cffa5f7dae31b5687c25ba4a005a2d15,721.6
0xc95c2cb79c94aedc529a316943e0d2a3448a4a36,25.41
0xcb27c40386822ebd8e086e12726fd2645d436697,462.44
0xccace1fde935ef1ee706b7b7c3d55dc71e4ee059,462.44
0xceb16c085a5d2bec33c2658f8467303dab4287a5,462.44
0xd6f5bf4af2a493429c7a2ea89a37cd9488b5aca6,462.44
0xd7d9d1cae2c46c091f023927e316ec4c021e7433,589.48
0xd856a744b4d39e63164a7a88e89a8ab0c758848d,330.31
0xd8e39212339ef7b4bd9b55e2ad08dcae09de8f8f,177.86
0xd8c150ce6649b02e082f36cc484223af63b6c2d6,370.96
0xdfa8e3a0f2096ec0f3dced725fa703072922323d,2536.33
0xda2034513414e4112bbb5f76a9e94ede5e04e757,279.49
0xdba8970fa03aadd94302fe007ecd73b695138f3d,462.44
0xdcc276b4c2d023d9ce3d326f9c634297e795d261,876.59
0xddf101d1007b6c77309837d8ec513654b8cf8346,101.63
0xe6b1eca33bb1d0681c979b6100ab8ecf99dce18a,109.26
0xe74fcfa5c7e5c39fb3e10a8279f78f557cf49ab7,508.17
0xe75ccf0d77845520d8acc8f752413d77fb195bb9,462.44
0xee77cf3e637a2193af7df8e000175c7c34f21f23,287.12
0xea9fe7e2aee308b42e6ed55630555c4b60123e88,462.44
0xeba2237e43693ad37466eb7b75a0e1c35407462e,177.86
0xf0078705af6c33c9a297bda67871e6c99cb74783,406.54
0xf2098a1e655e2b8e70b4ea5ce1e998eb159dd22c,462.44
0xf464c59f62fcba84ed508cf36bc5d2ae2a48877d,589.48
0xf6f4fa2a5f79d00d31fcd016812c9fb42a99a5b2,462.44
0xff6026607daea65a42cd441395d70c3f3418700a,1166.25
0xfddedd992fc3b3cec21a59f8dc2c1221c5a0ff67,185.48
0xff1a1aa3f81986ce934f42be48488a6fddb38874,16587.06
