datetime,funding_history
2024-07-31,-4.1125000000000004e-05
2024-08-01,1.3458333333333333e-05
2024-08-02,1.2999999999999996e-05
2024-08-03,1.2999999999999996e-05
2024-08-04,1.2999999999999996e-05
2024-08-05,-3.6666666666666704e-06
2024-08-06,-3.737500000000001e-05
2024-08-07,-1.8458333333333333e-05
2024-08-08,-1.5416666666666664e-06
2024-08-09,-1.7249999999999996e-05
2024-08-10,-2.325e-05
2024-08-11,-3.6249999999999983e-06
2024-08-12,1.5e-06
2024-08-13,-7.541666666666665e-06
2024-08-14,-2.0083333333333335e-05
2024-08-15,-2.875e-06
2024-08-16,-6.041666666666669e-06
2024-08-17,-5.5416666666666656e-06
2024-08-18,-1.854166666666667e-05
2024-08-19,-1.341666666666667e-05
2024-08-20,-2.258333333333333e-05
2024-08-21,-5.583333333333334e-06
2024-08-22,-1.1166666666666664e-05
2024-08-23,-5.041666666666667e-06
2024-08-24,-3.120833333333334e-05
2024-08-25,-2.8541666666666668e-05
2024-08-26,-1.7583333333333335e-05
2024-08-27,3.541666666666668e-06
2024-08-28,1.2999999999999996e-05
2024-08-29,-5.416666666666667e-07
2024-08-30,1.0249999999999997e-05
2024-08-31,9.45833333333333e-06
2024-09-01,-2.6666666666666664e-06
2024-09-02,4.2916666666666665e-06
2024-09-03,-6.166666666666666e-06
2024-09-04,1.295833333333333e-05
2024-09-05,-3.5416666666666665e-06
2024-09-06,1.2166666666666661e-05
2024-09-07,1.2999999999999996e-05
2024-09-08,-1.3749999999999998e-06
2024-09-09,2.5000000000000036e-07
2024-09-10,-9.916666666666668e-06
2024-09-11,-5.708333333333334e-06
2024-09-12,-1.0708333333333334e-05
2024-09-13,-2.499999999999998e-07
2024-09-14,-2.2124999999999992e-05
2024-09-15,-3.029166666666667e-05
2024-09-16,-1.3750000000000006e-06
2024-09-17,1.295833333333333e-05
2024-09-18,5.291666666666668e-06
2024-09-19,1.2083333333333332e-05
2024-09-20,1.2916666666666663e-05
2024-09-21,1.1874999999999997e-05
2024-09-22,1.2e-05
2024-09-23,1.245833333333333e-05
2024-09-24,1.2874999999999996e-05
2024-09-25,1.2999999999999996e-05
2024-09-26,1.2874999999999996e-05
2024-09-27,1.1749999999999996e-05
2024-09-28,-7.458333333333334e-06
2024-09-29,4.583333333333333e-06
2024-09-30,9.958333333333333e-06
2024-10-01,1.2999999999999996e-05
2024-10-02,1.2999999999999996e-05
2024-10-03,1.2999999999999996e-05
2024-10-04,1.2999999999999996e-05
2024-10-05,1.2999999999999996e-05
2024-10-06,1.2999999999999996e-05
2024-10-07,1.2999999999999996e-05
2024-10-08,1.2999999999999996e-05
2024-10-09,1.2999999999999996e-05
2024-10-10,1.2999999999999996e-05
2024-10-11,1.2999999999999996e-05
2024-10-12,1.283333333333333e-05
2024-10-13,1.2999999999999996e-05
2024-10-14,1.2999999999999996e-05
2024-10-15,1.2999999999999996e-05
2024-10-16,1.2999999999999996e-05
2024-10-17,1.2999999999999996e-05
2024-10-18,1.2999999999999996e-05
2024-10-19,1.2999999999999996e-05
2024-10-20,1.2999999999999996e-05
2024-10-21,1.2999999999999996e-05
2024-10-22,1.2999999999999996e-05
2024-10-23,1.2999999999999996e-05
2024-10-24,1.2999999999999996e-05
2024-10-25,1.2999999999999996e-05
2024-10-26,1.829166666666667e-05
2024-10-27,1.2999999999999996e-05
2024-10-28,1.2999999999999996e-05
2024-10-29,1.2999999999999996e-05
2024-10-30,1.2999999999999996e-05
2024-10-31,1.2999999999999996e-05
2024-11-01,2.666666666666667e-05
2024-11-02,1.2999999999999996e-05
2024-11-03,1.2999999999999996e-05
2024-11-04,1.2999999999999996e-05
2024-11-05,1.2999999999999996e-05
2024-11-06,1.2999999999999996e-05
2024-11-07,1.2041666666666665e-05
2024-11-08,1.2666666666666663e-05
2024-11-09,1.2999999999999996e-05
2024-11-10,1.2999999999999996e-05
2024-11-11,1.2999999999999996e-05
2024-11-12,1.2999999999999996e-05
2024-11-13,1.2999999999999996e-05
2024-11-14,1.2999999999999996e-05
2024-11-15,1.2999999999999996e-05
2024-11-16,1.370833333333333e-05
2024-11-17,1.616666666666666e-05
2024-11-18,2.9333333333333336e-05
2024-11-19,2.2e-05
