,Wallet,XP,Reward Percentage,HARMONIX,,RESOLV,,,,HYPERSWAP (AFTER TGE)
,,,,"$2,000 worth of $HYPE (dollar)","1,000,000 Harmonix Points",$1000 worth of $USR,"15,000,000 Resolv Points",Random: 30 Blueprint NFTs,Engage on-chain: 100 Blueprint NFTs,"$5,000 worth of $HSPX (at HyperSwap’s TGE valuation)"
72,0x675bc14456daed7662f4d77e61ef0478393fc350,39202.58,9.96%,199.22,99607.96,99.61,1494119.43,FALSE,TRUE,498.04
73,0x680737d1ee0104a9c2f010ba413242009e79cdcf,103,0.03%,0.52,261.71,0.26,3925.62,FALSE,FALSE,1.31
74,0x690ec7ac7d9a3432c17c71d47384ee4cb98afb10,40,0.01%,0.20,101.63,0.10,1524.51,FALSE,FALSE,0.51
75,0x6956eb714559b5719342b75013ab318c5e465b67,100,0.03%,0.51,254.09,0.25,3811.28,FALSE,FALSE,1.27
76,0x6a42a77ae5736c4e357abb10fab1ddf995e9ed32,100,0.03%,0.51,254.09,0.25,3811.28,FALSE,FALSE,1.27
77,0x6d14fc001e2eaf7930d7e0d60d6c525e9cbf9c4d,210,0.05%,1.07,533.58,0.53,8003.68,FALSE,FALSE,2.67
78,0x6dba9923f7db933335de181b478591e327c9f1f4,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
79,0x6a3540caeefc83b3bc1713665be37a6fbeff7372,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
80,0x6b237bf38c479edc2d2af238b1a42e588cec32e4,73,0.02%,0.37,185.48,0.19,2782.23,FALSE,FALSE,0.93
81,0x6d4e9fae6d15954d534b9f435bab47e5456b1305,279.09,0.07%,1.42,709.13,0.71,10636.90,FALSE,FALSE,3.55
82,0x6f9f6d406b71b40df3c4d82271364044790162ea,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
83,0x6fcbc22c26d19d8f15cad473f39d2738b50f362b,10,0.00%,0.05,25.41,0.03,381.13,FALSE,FALSE,0.13
84,0x72404f96d14f6c1ce2d94e833231c659b98babe8,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
85,0x72fc9a3775cd77fee2481f20a640f0b055f47294,108110.44,27.47%,549.39,274692.65,274.69,4120389.74,FALSE,FALSE,1373.46
86,0x73810d5b5301c8f76fbc6bac2299e06f903adced,411,0.10%,2.09,1044.29,1.04,15664.35,FALSE,FALSE,5.22
87,0x746d187d6307f515195ee0e15ed169df0b3eb14c,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
88,0x750630450e37a12ccbfb64eaa2d6d1b0318a1316,3080,0.78%,15.65,7825.82,7.83,117387.37,FALSE,FALSE,39.13
89,0x79481b2d94cb17f3cdfd550d4981689fed25e784,470,0.12%,2.39,1194.20,1.19,17913.01,FALSE,FALSE,5.97
90,0x7d4ecb24c790e112bbd34f68a02bc090a98039ad,123,0.03%,0.63,312.52,0.31,4687.87,FALSE,FALSE,1.56
91,0x7ed162246748a218e0404542683eee0fc08fe4bd,209,0.05%,1.06,531.04,0.53,7965.57,FALSE,FALSE,2.66
92,0x7f1f2224e57c6534d6fdfbe939394f1b2fd89567,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
93,0x7a49b2d446d42e5d243db07f1a1897bc1839d6da,123,0.03%,0.63,312.52,0.31,4687.87,FALSE,FALSE,1.56
94,0x7bb98fbb6f24cd5f5a198f1a3b000eab8b0cb212,130,0.03%,0.66,330.31,0.33,4954.66,FALSE,FALSE,1.65
95,0x7bf766506912af7c206702b5321298d14af47238,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
96,0x7f76d15c57df1a4a6a9b92a22bcb67b19ec20231,80,0.02%,0.41,203.27,0.20,3049.02,FALSE,FALSE,1.02
97,0x8034c31c35893f323374c59b3a706f6bc04bd00e,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
98,0x8297337fcf036b2e0bdb815b1b482a79dc945945,146,0.04%,0.74,370.96,0.37,5564.47,FALSE,FALSE,1.85
99,0x83399fa8cae5bb851022f9de6166a2fdab7b9c63,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
100,0x85c4590f69cc2306da433be28dc3618ec12e5d4c,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
101,0x86f55007bbca77f3b896fb4ad007910cc8e5f751,3343.61,0.85%,16.99,8495.62,8.50,127434.28,FALSE,FALSE,42.48
102,0x8a3f6961f4894e41e37a27a4d9a2d3b73fac0cf5,70,0.02%,0.36,177.86,0.18,2667.89,FALSE,FALSE,0.89
103,0x8ca276cc18d8c64ff42af8caea7c9e7e37f11ab1,6,0.00%,0.03,15.25,0.02,228.68,FALSE,FALSE,0.08
104,0x8f55161236ae6af07d9d97c924de38988cea12bd,133,0.03%,0.68,337.93,0.34,5069.00,FALSE,FALSE,1.69
105,0x8b5b41c9ce9e1b96c1466da98706616964b36264,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
106,0x8fdf6f3badc75602d7bab00bc7a4504f7269b6f5,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
107,0x90cf4fdab5bba09f2df5481c1045e38dffd0bee7,370,0.09%,1.88,940.12,0.94,14101.73,FALSE,FALSE,4.70
108,0x92ba06f456f181ef8e74fa882cecdc4f9a6a2447,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
109,0x93c1124fa17d890227efc9bffb14cfa4ba5fff35,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
